title,author,abstract,url,pages,doi,bibkey,project
Economic valuation of groundwater protection using a groundwater quality ladder based on chemical threshold levels,"Roy Brouwer, Carlos M. Ordens, Rute Pinto, Maria Teresa Condesso de Melo, ","Abstract Improving groundwater quality is expected to yield direct use benefits to society (e.g. clean and safe drinking water) and groundwater dependent ecosystems. Ten years after the adoption of the European Groundwater Directive (GWD), policymaker and public understanding of the societal value of groundwater protection is still rather limited. This is partly due to the invisible and intangible nature of groundwater resources and the sheer lack of valuation studies. This study contributes to the limited number of groundwater valuation studies in Europe by estimating the public benefits from improved groundwater quality in the Aveiro Quaternary Aquifer (AQA) in Portugal. This is the first and only economic valuation study of groundwater in Portugal. In order to communicate the various benefits provided by groundwater resources in easy understandable terms to lay people, and to assess public perception and willingness to pay (WTP) for groundwater protection, a groundwater quality ladder was developed based on the threshold values proposed in the GWD. The ladder reflects the different use and non-use values of groundwater quality improvements and accounts for natural background levels of chemicals in groundwater. The large-scale survey targets a representative sample of residents in the AQA. Split samples are used to assess the impact of framing groundwater protection in a broader regional water resources management context, giving part of the sample furthermore time to think about their WTP for the different groundwater threshold levels. Although use values dominate public WTP for the different groundwater threshold values, substantial non-use values are also found. Public WTP is considerable, varying between 20 and 30% over and above the current water bill residents pay for safe drinking water quality and natural background levels, respectively. Giving respondents time to think and framing groundwater protection as part of the improvement of all water resources in the region results in a more conservative WTP estimate. Public WTP is higher for better informed private well owners in rural areas. Aggregated across the entire aquifer the estimated total economic value is 1.5 million euros annually for safe drinking water quality and 3.5 million euros annually for groundwater containing natural background levels only.",G18-23001,292-304,10.1016/j.ecolind.2018.01.041,Brouwer-2018-Economic,Agricultural Water Futures
Temporal Patterns of Wildfire Activity in Areas of Contrasting Human Influence in the Canadian Boreal Forest,"Rodrigo Campos-Ruiz, Marc‐André Parisien, Mike Flannigan, ","The influence of humans on the boreal forest has altered the temporal and spatial patterns of wildfire activity through modification of the physical environment and through fire management for the protection of human and economic values. Wildfires are actively suppressed in areas with higher human influence, but, paradoxically, these areas have more numerous ignitions than low-impact ones because of the high rates of human-ignited fires, especially during the springtime. The aim of this study is to evaluate how humans have altered the temporal patterns of wildfire activity in the Canadian boreal forest by comparing two adjacent areas of low and high human influence, respectively: Wood Buffalo National Park (WBNP) and the Lower Athabasca Plains (LAP). We carried out Singular Spectrum Analysis to identify trends and cycles in wildfires from 1970 to 2015 for the two areas and examined their association with climate conditions. We found human influence to be reflected in wildfire activity in multiple ways: (1) by dampening (i.e., for area burned)—and even reversing (i.e., for the number of fires)—the increasing trends of fire activity usually associated with drier and warmer conditions; (2) by shifting the peak of fire activity from the summer to the spring; (3) by altering the fire-climate association; and (4) by exhibiting more recurrent ( 9 years).",G18-24001,159,10.3390/f9040159,Campos-Ruiz-2018-Temporal,Boreal Water Futures: Canada’s Boreal Wildlands-Society-Water Nexus
The Cariboo Alpine Mesonet: sub-hourly hydrometeorological observations of British Columbia's Cariboo Mountains and surrounding area since 2006,"Marco A. Hernández-Henríquez, Aseem R. Sharma, Mark Taylor, Hadleigh D. Thompson, Stephen J. Déry, ","Abstract. This article presents the development of a sub-hourly database of hydrometeorological conditions collected in British Columbia's (BC's) Cariboo Mountains and surrounding area extending from 2006 to present. The Cariboo Alpine Mesonet (CAMnet) forms a network of 11 active hydrometeorological stations positioned at strategic locations across mid- to high elevations of the Cariboo Mountains. This mountain region spans 44 150 km2, forming the northern extension of the Columbia Mountains. Deep fjord lakes along with old-growth western redcedar and hemlock forests reside in the lower valleys, montane forests of Engelmann spruce, lodgepole pine and subalpine fir permeate the mid-elevations, while alpine tundra, glaciers and several large ice fields cover the higher elevations. The automatic weather stations typically measure air and soil temperature, relative humidity, atmospheric pressure, wind speed and direction, rainfall and snow depth at 15 min intervals. Additional measurements at some stations include shortwave and longwave radiation, near-surface air, skin, snow, or water temperature, and soil moisture, among others. Details on deployment sites, the instrumentation used and its precision, the collection and quality control process are provided. Instructions on how to access the database at Zenodo, an online public data repository, are also furnished (https://doi.org/10.5281/zenodo.1195043). Information on some of the challenges and opportunities encountered in maintaining continuous and homogeneous time series of hydrometeorological variables and remote field sites is provided. The paper also summarizes ongoing plans to expand CAMnet to better monitor atmospheric conditions in BC's mountainous terrain, efforts to push data online in (near-)real time, availability of ancillary data and lessons learned thus far in developing this mesoscale network of hydrometeorological stations in the data-sparse Cariboo Mountains.",G18-25002,1655-1672,10.5194/essd-10-1655-2018,Hernández-Henríquez-2018-The,SPADE: Storms and Precipitation Across the Continental Divide Experiment
Optimized Storing of Workflow Outputs through Mining Association Rules,"Debasish Chakroborti, Manishankar Mondal, Banani Roy, Chanchal K. Roy, Kevin A. Schneider, ","Workflows are frequently built and used to systematically process large datasets using workflow management systems (WMS). A workflow (i.e., a pipeline) is a finite set of processing modules organized as a series of steps that is applied to an input dataset to produce a desired output. In a workflow management system, users generally create workflows manually for their own investigations. However, workflows can sometimes be lengthy and the constituent processing modules might often be computationally expensive. In this situation, it would be beneficial if users could reuse intermediate stage results generated by previously executed workflows for executing their current workflow.In this paper, we propose a novel technique based on association rule mining for suggesting which intermediate stage results from a workflow that a user is going to execute should be stored for reusing in the future. We call our proposed technique, RISP (Recommending Intermediate States from Pipelines). According to our investigation on hundreds of workflows from two scientific workflow management systems, our proposed technique can efficiently suggest intermediate state results to store for future reuse. The results that are suggested to be stored have a high reuse frequency. Moreover, for creating around 51% of the entire pipelines, we can reuse results suggested by our technique. Finally, we can achieve a considerable gain (74% gain) in execution time by reusing intermediate results stored by the suggestions provided by our proposed technique. We believe that our technique (RISP) has the potential to have a significant positive impact on Big-Data systems, because it can considerably reduce execution time of the workflows through appropriate reuse of intermediate state results, and hence, can improve the performance of the systems.",G18-26001,,10.1109/bigdata.2018.8622351,Chakroborti-2018-Optimized,Core Computer Science Team
"Carbon, water and energy exchange dynamics of a young pine plantation forest during the initial fourteen years of growth","Felix C.C. Chan, M. Altaf Arain, Myroslava Khomik, Jason Brodeur, Matthias Peichl, Natalia Restrepo‐Coupe, Robin Thorne, Eric Beamesderfer, Shawn McKenzie, Bing Xu, Holly Croft, M. R. Pejam, Janelle Trant, Michelle Kula, Rachel A. Skubel, ","Abstract This study presents the energy, water, and carbon (C) flux dynamics of a young afforested temperate white pine (Pinus strobus L.) forest in southern Ontario, Canada during the initial fourteen years (2003–2016) of establishment. Energy fluxes, namely, net radiation (Rn), latent heat (LE), and sensible heat (H) flux increased over time, due to canopy development. Annual values of ground heat flux (G) peaked in 2007 and then gradually declined in response to canopy closure. The forest became a consistent C-sink only 5 years after establishment owing in part to low respiratory fluxes from the former agricultural, sandy soils with low residual soil organic matter. Mean annual values of gross ecosystem productivity (GEP), ecosystem respiration (RE), and net ecosystem productivity (NEP) ranged from 494 to 1913, 515 to 1774 and −126 to 216 g C m−2 year−1 respectively, over the study period. Annual evapotranspiration (ET) values ranged from 328 to 429 mm year−1 over the same period. Water use efficiency (WUE) increased with stand age with a mean WUE value of 3.92 g C kg−1 H2O from 2008 to 2016. Multivariable linear regression analysis conducted using observed data suggested that the overall, C and water dynamics of the stand were primarily driven by radiation and temperature, both of which explained 77%, 48%, 28%, and 76% of the variability in GEP, RE, NEP, and ET, respectively. However, late summer droughts, which were prevalent in the region, reduced NEP. The reduction in NEP was enhanced when summer drought events were accompanied by increased heat such as those in 2005, 2012 and 2016. This study contributes to our understanding of the energy, water and C dynamics of afforested temperate conifer plantations and how these forests may respond to changing climate conditions during the crucial initial stage of their life cycle. Our findings also demonstrate the potential of pine plantation stands to sequester atmospheric CO2 in eastern North America.",G18-27001,12-26,10.1016/j.foreco.2017.12.024,"Chan-2018-Carbon,",Southern Forests Water Futures
Remote sensing of ecosystem trajectories as a proxy indicator for watershed water balance,"L. Chasmer, K. J. Devito, Chris Hopkinson, Richard M. Petrone, ","Ecosystem trajectories are inextricably linked to hydrology; however, water availability is not easily observed within the landscape. The response of vegetation to soil water availability may provide an indicator of local hydrology and the resilience or sensitivity of ecosystems to long‐term changes in water balance. In this study, vegetation trajectories derived from Landsat Modified Soil Adjusted Vegetation Index over a 22‐year period are used as an indicator of spatio‐temporal changes of watershed water balance and surface water storage within 6 proximal watersheds of the Boreal Plains ecozone of Alberta, Canada. The interactions between hydrology, topography, geology, and land cover type are examined as they relate to vegetation change.",G18-28001,e1987,10.1002/eco.1987,Chasmer-2018-Remote,Boreal Water Futures: Canada’s Boreal Wildlands-Society-Water Nexus
Perfluorobutanesulfonate Exposure Causes Durable and Transgenerational Dysbiosis of Gut Microbiota in Marine Medaka,"Lianguo Chen, James C.W. Lam, Chen-Yan Hu, Mirabelle M.P. Tsui, Qi Wang, John P. Giesy, Patrick T.I. Lam, ","Environmental pollutants are known as disruptors of gut microbiota. However, it remains unexplored whether the dysbiosis of gut microbiota by pollutants is durable and transgenerational in teleost. Therefore, this study exposed eggs of marine medaka to environmentally realistic concentrations (0, 1.0, 2.9, or 9.5 μg/L) of perfluorobutanesulfonate (PFBS), a persistent organic pollutant of emerging concern, until sexual maturity. A proportion of F0 adults was dissected after exposure (F0-exposed). Remaining fish were depurated in clean seawater (F0-depurated). F1 offspring were also cultured in clean seawater for a complete life-cycle. Substantial amounts of PFBS were accumulated in F0-exposed intestines, while F1 intestines contained no PFBS. Significant alterations were observed in physiological activities of F0-exposed and F1 medaka. The gut microbial community in F0-exposed, F0-depurated, and F1 medaka were restructured in a concentration-dependent manner by PFBS exposure. Dysbiosis of gut microbiota ca...",G18-29001,731-738,10.1021/acs.estlett.8b00597,Chen-2018-Perfluorobutanesulfonate,(eDNA) Next Generation Solutions to Ensure Healthy Water Resources for Future Generations
Temporal Dynamics of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks,"Housen Chu, Dennis Baldocchi, C. Poindexter, Michael Abraha, Ankur R. Desai, Gil Bohrer, M. Altaf Arain, Timothy J. Griffis, Peter D. Blanken, Thomas L. O’Halloran, R. Quinn Thomas, Quan Zhang, Sean P. Burns, J. M. Frank, Christian Dold, Shannon Brown, T. Andrew Black, Christopher M. Gough, B. E. Law, Xuhui Lee, Jiquan Chen, David E. Reed, W. J. Massman, Kenneth L. Clark, Jerry L. Hatfield, John H. Prueger, Rosvel Bracho, John M. Baker, Timothy A. Martin, ","Author(s): Chu, H; Baldocchi, DD; Poindexter, C; Abraha, M; Desai, AR; Bohrer, G; Arain, MA; Griffis, T; Blanken, PD; O'Halloran, TL; Thomas, RQ; Zhang, Q; Burns, SP; Frank, JM; Christian, D; Brown, S; Black, TA; Gough, CM; Law, BE; Lee, X; Chen, J; Reed, DE; Massman, WJ; Clark, K; Hatfield, J; Prueger, J; Bracho, R; Baker, JM; Martin, TA | Abstract: Aerodynamic canopy height (ha) is the effective height of vegetation canopy for its influence on atmospheric fluxes and is a key parameter of surface-atmosphere coupling. However, methods to estimate ha from data are limited. This synthesis evaluates the applicability and robustness of the calculation of ha from eddy covariance momentum-flux data. At 69 forest sites, annual ha robustly predicted site-to-site and year-to-year differences in canopy heights (R2n=n0.88, 111nsite-years). At 23 cropland/grassland sites, weekly ha successfully captured the dynamics of vegetation canopies over growing seasons (R2ngn0.70 in 74nsite-years). Our results demonstrate the potential of flux-derived ha determination for tracking the seasonal, interannual, and/or decadal dynamics of vegetation canopies including growth, harvest, land use change, and disturbance. The large-scale and time-varying ha derived from flux networks worldwide provides a new benchmark for regional and global Earth system models and satellite remote sensing of canopy structure.",G18-30001,9275-9287,10.1029/2018gl079306,Chu-2018-Temporal,Southern Forests Water Futures
Nutrient Release from Living and Terminated Cover Crops Under Variable Freeze–Thaw Cycles,"James R. Cober, Merrin L. Macrae, Laura L. Van Eerd, ","Agronomy Journa l • Volume 110 , I s sue 3 • 2018 Elevated levels of P transported into aquatic ecosystems from agricultural watersheds have contributed to the eutrophication of surface water bodies in Canada as well as freshwater habitats around the world (Smith et al., 1998; Schindler et al., 2012; Michalak et al., 2013; Jarvie et al., 2017). In salt water environments, eutrophication has been linked to anthropogenic N inputs (Gruber and Galloway, 2008; Congreves and Van Eerd, 2015). Eutrophication is problematic as it impacts both ecosystem and human health (Anderson et al., 2002), which reduces the recreational value of lakes as well as their potential use as drinking water sources (Smith et al., 1998, 2015). Consequently, there is significant pressure to reduce the export of P and N from surrounding watersheds (International Joint Commission, 2014). Although researchers and environmental managers have attempted to manage nutrient export for decades (Sharpley et al., 1994), the occurrence of large algal blooms has increased due to a combination of climate drivers as well as the large intensity of agricultural land use in surrounding watersheds (e.g. Michalak et al., 2013; Smith et al., 2015). There is also evidence that the elevated P loads from agricultural systems may be an unintended consequence of conservation practices (Jarvie et al., 2017). Thus, an improved understanding of the efficacy of best management practices (BMPs) is needed, and potential unintended consequences must be identified and quantified. The use of CC is a conservation practice that is growing in popularity (Wayman et al., 2016; Statistics Canada, 2017). Cover crops are plants grown by farmers for their benefits to the soil, environment, and future crop yields (Snapp et al., 2005; Blanco-Canqui et al., 2015). Cover crops have the benefit of reducing particulate P losses associated with soil erosion; however, concern has been raised about their potential to release dissolved reactive P (Tukey, 1970; Sharpley et al., 1994; Sturite et al., 2007; Liu et al., 2014). Phosphorus loss through leaching is typically minor; however, certain conditions and mechanical processes have been found to increase the concentration of nutrients in leachate (Tukey and Morgan, 1963; Bechmann et al., 2005; Lozier and Macrae, 2017; Lozier et al., 2017). Of particular importance for northern temperate regions is the effect of freezing on P release from plants, Nutrient Release from Living and Terminated Cover Crops Under Variable Freeze–Thaw Cycles",G18-31001,1036-1045,10.2134/agronj2017.08.0449,Cober-2018-Nutrient,Agricultural Water Futures
"Using Snowfall Intensity to Improve the Correction of Wind-Induced 
Undercatch in Solid Precipitation Measurements","Matteo Colli, Mattia Stagnaro, Luca Giovanni Lanza, Roy Rasmussen, Julie M. Thériault, ","Abstract. Transfer functions are generally used to adjust for the wind-induced undercatch of solid precipitation measurements. These functions are derived based on the variation of the collection efficiency with wind speed for a particular type of gauge, either using field experiments or based on numerical simulation. Most studies use the wind speed alone, while others also include surface air temperature and/or precipitation type to try to reduce the scatter of the residuals at a given wind speed. In this study, we propose the use of the measured precipitation intensity to improve the effectiveness of the transfer function. This is achieved by applying optimized curve fitting to field measurements from the Marshall field-test site (CO, USA). The use of a non-gradient optimization algorithm ensures optimal binning of experimental data according to the parameter under test. The results reveal that using precipitation intensity as an explanatory variable significantly reduce the scatter of the residuals. The scatter reduction as indicated by the Root Mean Square Error (RMSE) is confirmed by the analysis of the recent quality controlled data from the WMO/SPICE campaign, showing that this approach can be applied to a variety of locations and catching-type gauges. We demonstrate the physical basis of the relationship between the collection efficiency and the measured precipitation intensity, due to the correlation of large particles with high intensities, by conducting a Computational Fluid-Dynamics (CFD) simulation. We use a Reynolds Averaged Navier-Stokes SST k-ω model coupled with a Lagrangian particle-tracking model. Results validate the hypothesis of using the measured precipitation intensity as a key parameter to improve the correction of wind-induced undercatch. Findings have the potential to improve operational measurements since no additional instrument other than a wind sensor is required to apply the correction. This improves the accuracy of precipitation measurements without the additional cost of ancillary instruments such as particle counters.",G18-32001,,10.5194/hess-2018-447,Colli-2018-Using,SPADE: Storms and Precipitation Across the Continental Divide Experiment
Environmental and taxonomic controls of carbon and oxygen stable isotope composition in <i>Sphagnum</i> across broad climatic and geographic ranges,"Gustaf Granath, Håkan Rydin, Jennifer L. Baltzer, Fia Bengtsson, Nicholas Boncek, Luca Bragazza, Zhao‐Jun Bu, S. J. M. Caporn, Ellen Dorrepaal, О. В. Галанина, Mariusz Gałka, Anna Ganeva, David P. Gillikin, Irina Goia, N. D. Goncharova, Michal Hájek, Akira Haraguchi, Lorna I. Harris, Elyn Humphreys, Martin Jiroušek, Katarzyna Kajukało, Edgar Karofeld, Natalia G. Koronatova, Natalia P. Kosykh, Mariusz Lamentowicz, Е. Д. Лапшина, Juul Limpens, Maiju Linkosalmi, Jinze Ma, Marguerite Mauritz, Tariq Muhammad Munir, Susan M. Natali, Rayna Natcheva, Maria​ Noskova, Richard J. Payne, Kyle Pilkington, Sean M. Robinson, Bjorn J. M. Robroek, Line Rochefort, David Singer, Hans K. Stenøien, Eeva‐Stiina Tuittila, Kai Vellak, Anouk Verheyden, J. M. Waddington, Steven K. Rice, ","Abstract. Rain-fed peatlands are dominated by peat mosses (Sphagnum sp.), which for their growth depend on elements from the atmosphere. As the isotopic composition of carbon (12,13C) and oxygen (16,18O) of these Sphagnum mosses are affected by environmental conditions, the dead Sphagnum tissue accumulated in peat constitutes a potential long-term archive that can be used for climate reconstruction. However, there is a lack of adequate understanding of how isotope values are influenced by environmental conditions, which restricts their current use as environmental and palaeoenvironmental indicators. Here we tested (i) to what extent C and O isotopic variation in living tissue of Sphagnum is species-specific and associated with local hydrological gradients, climatic gradients (evapotranspiration, temperature, precipitation), and elevation; (ii) if the C isotopic signature can be a proxy for net primary productivity (NPP) of Sphagnum; and (iii) to what extent Sphagnum tissue δ18O tracks the δ18O isotope signature of precipitation. In total, we analysed 337 samples from 93 sites across North America and Eurasia using two important peat-forming Sphagnum species (S. magellanicum, S. fuscum) common to the Holartic realm. There were differences in δ13C values between species. For S. magellanicum δ13C decreased with increasing height above the water table (HWT, R2 = 17 %) and was positively correlated to productivity (R2 = 7 %). Together these two variables explained 46 % of the between-site variation in δ13C values. For S. fuscum, productivity was the only significant predictor of δ13C (total R2 = 6 %). For δ18O values, ca. 90 % of the variation was found between sites. Globally-modelled annual δ18O values in precipitation explained 69% of the between-site variation in tissue δ18O. S. magellanicum showed lower δ18O enrichment than S. fuscum (−0.83 ‰ lower) . Elevation and climatic variables were weak predictors of tissue δ18O values after controlling for δ18O values of the precipitation. To summarise, our study provides evidence for (a) good predictability of tissue δ18O values from modelled annual δ18O values in precipitation, and (b) the possibility to relate tissue δ13C values to HWT and NPP, but this appears to be species-dependent. These results suggest that isotope composition can be used at a large scale for climatic reconstructions but that such models should be species-specific.",G18-32002,,10.5194/bg-2018-120,Granath-2018-Environmental,Northern Water Futures
Combined Impacts of ENSO and MJO on the 2015 Growing Season Drought over the Canadian Prairies,"Zhenhua Li, Yanping Li, Barrie Bonsal, A. H. Manson, Lucia Scaff, ","Abstract. Warm-season precipitation over the Canadian Prairies plays a crucial role in activities in environment and society and has particular importance to agricultural production over the region. This research investigates how a warm season precipitation deficit over the Canadian Prairies is related to tropical Pacific forcing in the early summer 2015 drought. The significant deficit of precipitation in May and June of 2015 were coincident with a warm phase of El Nino–Southern Oscillation (ENSO) and a negative phase of Madden–Julian Oscillation (MJO)-4 index as they both favor a positive geopotential height anomaly in western Canada. Further investigation during the instrumental record period (1979–2015) shows that the warm-season precipitation in the Canadian Prairies and the corresponding atmospheric circulation anomalies over western Canada teleconnected with the lower boundary conditions in the tropical western Pacific. MJO may play a crucial role in determining the summer precipitation anomaly in the western Canadian Prairie when equatorial central Pacific is warmer than normal (NINO4 > 0) and MJO is more active. The mechanism of this teleconnection may be due to the propagation of stationary Rossby wave that is generated in the MJO-4 index region. When the tropical convection around MJO-4 index regions (western tropical Pacific, centered over 140 E) is more active than normal when NINO4 > 0, a Rossby wave train originates from western Pacific and propagates into the midlatitude North America causing an anomalous ridge in the upper level over western Canada.",G18-32003,,10.5194/hess-2018-56,Li-2018-Combined,Climate-Related Precipitation Extremes
"Effects of midwinter snowmelt on runoff generation and
groundwater recharge in the Canadian prairies","Igor Pavlovskii, Masaki Hayashi, Daniel Itenfisu, ","Abstract. Snowpack accumulation and depletion are important elements of the hydrological cycle in the prairies. The surface runoff generated during snowmelt is transformed into streamflow or fills numerous depressions driving the focused recharge of groundwater in this dry setting. The snowpack in the prairies can undergo several cycles of accumulation and depletion in a winter. The timing of the melt affects the mechanisms of snowpack depletion and their hydrological implications. The effects of midwinter melt were investigated at three sites in the Canadian prairies. Unlike net radiation-driven snowmelt during spring melt, turbulent sensible heat fluxes were the dominant source of energy inputs for midwinter melt occurring in the period with low solar radiation inputs. Midwinter melt events had lower runoff ratios than subsequent spring melt events and had strong impacts on the timing of the focussed recharge. Remote sensing data have shown that midwinter melt events regularly occur under the present climate throughout the Canadian prairies.",G18-32004,,10.5194/hess-2018-423,Pavlovskii-2018-Effects,Prairie Water: Enhancing resilience of Prairie communities through sustainable water management
Historical drought patterns over Canada and their relation to teleconnections,"Zilefac Elvis Asong, H. S. Wheater, Barrie Bonsal, Saman Razavi, Sopan Kurkute, ","Abstract. Drought is a recurring extreme climate event and among the most costly natural disasters in the world. This is particularly true over Canada, where drought is both a frequent and damaging phenomenon with impacts on regional water resources, agriculture, industry, aquatic ecosystems and health. However, nation-wide drought assessments are currently lacking and impacted by limited ground-based observations. This study provides a comprehensive analysis of historical droughts over the whole of Canada, including the role of large-scale teleconnections. Drought events are characterized by the Standardized Precipitation-Evapotranspiration Index (SPEI) over various temporal scales (1, 3, 6, and 12 consecutive months, 6 months from April to September, and 12 months from October to September) applied to different gridded monthly data sets for the period 1950–2013. The Mann Kendall test, Rotated Empirical Orthogonal Function, Continuous Wavelet Transform, and Wavelet Coherence analyses are used, respectively, to investigate the trend, spatiotemporal patterns, periodicity, and teleconnectivity of drought events. Results indicate that southern (northern) parts of the country experienced significant trends towards drier (wetter) conditions although substantial variability exists. Two spatially well-defined regions with different temporal evolution of droughts were identified―the Canadian Prairies and Northern-central Canada. The analyses also revealed the presence of a dominant periodicity of between 8–32 months in the Prairie region, and 8–40 months in the Northern central region. These cycles of low-frequency variability are found to be associated principally to the Pacific-North American (PNA) and Multivariate El Niño/Southern Oscillation Index (MEI) relative to other considered large-scale climate indices. This study is the first of its kind to identify dominant periodicities in drought variability over the whole of Canada in terms of when the drought events occur, the duration, and how often they do so.",G18-32005,,10.5194/hess-2018-122,Asong-Wheater-2018-Historical-drought,Core Modelling & Forecasting Team
"The Cariboo Alpine Mesonet: Sub-hourly hydrometeorological 
observations of  British Columbia's Cariboo Mountains and 
surrounding area since 2006","Marco A. Hernández-Henríquez, Aseem R. Sharma, Mark P. Taylor, Hadleigh D. Thompson, Stephen J. Déry, ","Abstract. This article presents the development of a sub-hourly database of hydrometeorological conditions collected in British Columbia's Cariboo Mountains and surrounding area extending from 2006 to present. The Cariboo Alpine Mesonet (CAMnet) forms a network of 11 active hydrometeorological stations positioned at strategic locations across mid- to high elevations of the Cariboo Mountains. This mountain range spans 44,150 km2 forming the northern extension of the Columbia Mountains. Deep fjord lakes along with old-growth redcedar and hemlock forests reside in the lower valleys, montane forests of Engelmann spruce, lodgepole pine and subalpine fir permeate the mid-elevations while alpine tundra, glaciers and several large icefields cover the higher elevations. The automatic weather stations typically measure air and soil temperature, relative humidity, atmospheric pressure, wind speed and direction, rainfall, and snow depth at 15 minute intervals. Additional measurements at some stations include shortwave and longwave radiation, near-surface air, skin, snow or water temperature, and soil moisture among others. Details on deployment sites, the instrumentation used and its precision, the collection and quality control process are provided. Instructions on how to access the database at Zenodo, an online public data repository, are also furnished (https://doi.org/10.5281/zenodo.1195043). Information on some of the challenges and opportunities encountered in maintaining continuous and homogeneous time series of hydrometeorological variables and remote field sites is provided. The paper also summarizes ongoing plans to expand CAMnet to better monitor atmospheric conditions in BC's mountainous terrain, efforts to push data online in (near)real-time, availability of ancillary data, and lessons learned thus far in developing this mesoscale network of hydrometeorological stations in the data-sparse Cariboo Mountains.",G18-32006,,10.5194/essd-2018-45,Hernández-Henríquez-Sharma-2018-The-Cariboo,Mountain Water Futures
The Influence of Shallow Taliks on Permafrost Thaw and Active Layer Dynamics in Subarctic Canada,"Ryan F. Connon, Élise Devoie, Masaki Hayashi, Tyler Veness, William L. Quinton, ","Measurements of active layer thickness (ALT) are typically taken at the end of summer, a time synonymous with maximum thaw depth. By definition, the active layer is the layer above permafrost that freezes and thaws annually. This study, conducted in peatlands of subarctic Canada, in the zone of thawing discontinuous permafrost, demonstrates that the entire thickness of ground atop permafrost does not always refreeze over winter. In these instances, a talik exists between the permafrost and active layer, and ALT must therefore be measured by the depth of refreeze at the end of winter. As talik thickness increases at the expense of the underlying permafrost, ALT is shown to simultaneously decrease. This suggests that the active layer has a maximum thickness that is controlled by the amount of energy lost from the ground to the atmosphere during winter. The taliks documented in this study are relatively thin (<2 m) and exist on forested peat plateaus. The presence of taliks greatly affects the stability of the underlying permafrost. Vertical permafrost thaw was found to be significantly greater in areas with taliks (0.07 m year−1) than without (0.01 m year−1). Furthermore, the spatial distribution of areas with taliks increased between 2011 and 2015 from 20% to 48%, a phenomenon likely caused by an anomalously large ground heat flux input in 2012. Rapid talik development and accelerated permafrost thaw indicates that permafrost loss may exhibit a nonlinear response to warming temperatures. Documentation of refreeze depths and talik development is needed across the circumpolar north.",G18-33001,281-297,10.1002/2017jf004469,Connon-2018-The,Core Technical Team
Challenges in Modeling Turbulent Heat Fluxes to Snowpacks in Forest Clearings,"Jonathan Conway, John W. Pomeroy, Warren Helgason, Nicholas Kinar, ","Abstract Forest clearings are common features of evergreen forests and produce snowpack accumulation and melt differing from that in adjacent forests and open terrain. This study has investigated the challenges in specifying the turbulent fluxes of sensible and latent heat to snowpacks in forest clearings. The snowpack in two forest clearings in the Canadian Rockies was simulated using a one-dimensional (1D) snowpack model. A trade-off was found between optimizing against measured snow surface temperature or snowmelt when choosing how to specify the turbulent fluxes. Schemes using the Monin–Obukhov similarity theory tended to produce negatively biased surface temperature, while schemes that enhanced turbulent fluxes, to reduce the surface temperature bias, resulted in too much melt. Uncertainty estimates from Monte Carlo experiments showed that no realistic parameter set could successfully remove biases in both surface temperature and melt. A simple scheme that excludes atmospheric stability correction was required to successfully simulate surface temperature under low wind speed conditions. Nonturbulent advective fluxes and/or nonlocal sources of turbulence are thought to account for the maintenance of heat exchange in low-wind conditions. The simulation of snowmelt was improved by allowing enhanced latent heat fluxes during low-wind conditions. Caution is warranted when snowpack models are optimized on surface temperature, as model tuning may compensate for deficiencies in conceptual and numerical models of radiative, conductive, and turbulent heat exchange at the snow surface and within the snowpack. Such model tuning could have large impacts on the melt rate and timing of the snow-free transition in simulations of forest clearings within hydrological and meteorological models.",G18-34001,1599-1616,10.1175/jhm-d-18-0050.1,Conway-2018-Challenges,Boreal Water Futures: Canada’s Boreal Wildlands-Society-Water Nexus
Simulation of Past Changes in the Austrian Snow Cover 1948–2009,"Thomas Marke, Florian Hanzer, Marc Olefs, Ulrich Strasser, ","Abstract A distributed snow model is applied to simulate the spatiotemporal evolution of the Austrian snow cover at 1 km × 1 km spatial and daily temporal resolution for the period 1948–2009. After a comprehensive model validation, changes in snow cover conditions are analyzed for all of Austria as well as for different Austrian subregions and elevation belts focusing on the change in snow cover days (SCDs). The comparison of SCDs for the period 1950–79 to those achieved for 1980–2009 for all of Austria shows a decrease in SCDs with a maximum of >35 SCDs near Villach (Carinthia). The analysis of SCD changes in different subregions of Austria reveals mean changes between −11 and −15 days with highest absolute change in SCDs for southern Austria. Two decrease maxima could be identified in elevations of 500–2000 m MSL (between −13 and −18 SCDs depending on the subregion considered) and above 2500 m MSL (over −20 SCDs in the case of central Austria). The temporal distribution of SCD change in the Austrian subregions is characterized by a reduction of SCDs in midwinter and at the end of winter rather than by fewer SCDs in early winter. With respect to the temporal distribution of SCD change in different elevation belts, changes in elevations below 1000 m MSL are characterized by a distinct reduction of SCDs in January. With increasing elevation the maximum change in SCDs shifts toward the summer season, reaching a maximum decrease in the months of June–August above 2500 m MSL.",G18-4001,1529-1545,10.1175/jhm-d-17-0245.1,Marke-2018-Simulation,Others
